symbol,name,source,price_usd,market_cap,volume_24h,change_24h,change_7d,volatility,mcap_tier,trend,momentum_score,pressure_score,pressure_direction,signal_family,h_rsi,h_roc5,h_nroc5
BTC,Bitcoin,coingecko,80141,1605184323279,45335580377,0.30559,-0.09628427829421857,LOW,LARGE_CAP,FLAT,0.14,46,mixed,mixed / no edge,39,0.05997847984724302,0.008911238783066407
ETH,Ethereum,coingecko,2248.92,271406073877,19298692227,-0.49503,-2.0293718845407525,LOW,LARGE_CAP,FLAT,-1.11,50,bearish,bearish continuation,33,0.12047486293329489,0.017873504734561077
USDT,Tether,coingecko,0.999686,189801412146,75495066783,0.0141,-0.019134954227710634,LOW,LARGE_CAP,FLAT,0.0,48,bullish,bullish continuation,32,0.0014165661440021578,0.00021116961010412093
BNB,BNB,coingecko,681.78,91898662624,1243872852,0.92506,6.564437513378111,LOW,LARGE_CAP,FLAT,3.18,58,bullish,bullish continuation,56,0.5526636006144773,0.08289287387014668
XRP,XRP,coingecko,1.46,90068681266,4125021685,0.21791,4.883407234591563,LOW,LARGE_CAP,FLAT,2.08,46,mixed,mixed / no edge,35,0.1197112781222854,0.01773826441520792
USDC,USDC,coingecko,0.99977,76527754663,17314864702,-0.0053,-0.012630018694875702,LOW,LARGE_CAP,FLAT,-0.01,54,bearish,bearish continuation,46,-0.0015790792781072728,-0.00023538929053458087
SOL,Solana,coingecko,90.5,52311730758,3434186851,-0.87541,2.216014708236743,LOW,LARGE_CAP,FLAT,0.36,54,bearish,bearish continuation,37,0.34243194569299484,0.0508434385434481
TRX,TRON,coingecko,0.351834,33352955588,515387222,-0.84263,1.0345326185323034,LOW,LARGE_CAP,FLAT,-0.09,55,bearish,mixed / no edge,39,-0.3416273464883625,-0.05081102731230743
FIGR_HELOC,Figure Heloc,coingecko,1.033,18351378109,20680104,-0.07032,3.016957722123519,LOW,LARGE_CAP,FLAT,1.16,54,bearish,compression watch,36,0.0,0.0
DOGE,Dogecoin,coingecko,0.11399,17579846419,2322553899,-1.3792,6.05764978637345,LOW,LARGE_CAP,DOWN,1.6,46,mixed,mixed / no edge,39,-0.08989347555954692,-0.013299356432080378
WBT,WhiteBIT Coin,coingecko,58.76,12499422671,66442329,0.02616,-0.5854621513466138,LOW,LARGE_CAP,FLAT,-0.22,55,bearish,mixed / no edge,37,0.17784806919225354,0.026434106592403254
USDS,USDS,coingecko,0.999719,11115138576,81541068,-0.00052,-0.010057576105971995,LOW,LARGE_CAP,FLAT,-0.0,49,bearish,mixed / no edge,45,0.007794133797636236,0.0011619278318656995
